sep=;
Tables;Owner;Systesm;super;superdata;devhead;developer;saleshead;sales;support;admin;admindata;officer;agent;enduser;public
mra_audit_logs_authentication;SYS;CRUD;R;R;R;R;N;N;N;N;N;N;N;N;N
mra_token_blacklist;SYS;CRUD;R;R;R;R;N;N;N;N;N;N;N;N;N
mra_countries;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;N
mra_cities;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;N
mra_ca_addresses;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;N
mra_gender_types;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;N
mra_tc_types;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;N;N;N;N;N;N
mra_terms_and_conditions;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;N;N;N;N;R;N
mra_contact_categories;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;N
mra_contact_types;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;N
mra_condition_types;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;R;R;R;N;N
mra_ticket_reaction_types;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;N
mra_notification_types;SYS;CRUD;CRUD;CRUD;N;N;N;N;N;N;N;N;N;N;N
mra_payment_methods;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;N;N;N;N;N
mra_currency_codes;SYS;CRUD;CRUD;CRUD;R;R;R;R;R;R;N;N;N;N;N
mra_discount_type;SYS;CRUD;CRUD;CRUD;R;R;CRUD;R;R;R;N;N;N;N;N
mra_customer_types;SYS;CRUD;CRUD;CRUD;R;R;CRUD;R;R;R;N;N;N;N;N
mra_subscription_interval;SYS;CRUD;CRUD;CRUD;R;R;CRUD;R;R;R;N;N;N;N;N
mra_subscription_models;SYS;CRUD;CRUD;CRUD;R;R;CRUD;R;R;R;N;N;N;N;N
mra_subscription_options;SYS;CRUD;CRUD;CRUD;R;R;CRUD;R;R;R;N;N;N;N;N
mra_subscription_model_options;SYS;CRUD;CRUD;CRUD;R;R;CRUD;R;R;R;N;N;N;N;N
mra_discount_interval;SYS;CRUD;CRUD;CRUD;R;R;CRUD;R;R;R;N;N;N;N;N
mra_users;creator;CRUD;CRUD;CRUD;R;R;R;R;CRU;GC*GR*;GC*GR*;R*;R*;COROUO;N
mra_user_details;creator;CRUD;CRUD;R;R;R;R;R;R;N;N;N;N;COROUODO;N
mra_user_cities ;creator;CRUD;CRUD;R;R;R;R;R;R;N;N;N;N;COROUO;N
mra_customers;creator;CRUD;CRUD;R;R;R;CRUD;CRUD;R;R;R;R;R;R;N
mra_user_customers;customer_id;CRUD;CRUD;CRUD;CRUD;CRUD;CRUD;CRUD;CRUD;GC*GR*GU*GD*;GC*GR*GU*GD*;R*;R*;N;N
mra_subscriptions;advisor;CRUD;CRUD;CRUD;CRUD;CRUD;CRUD;CRUD;R;GR*;N;N;N;N;N
mra_payment_details;customer_id;CRUD;R;R;R;R;R;R;R;GR*;N;N;N;N;N
mra_tc_acceptance;creator;CRUD;R;R;R;R;R;R;R;N;N;N;N;RO;N
mra_contact_information;creator;CRUD;CRUD;CRUD;CRUD;CRUD;CRUD;CRUD;CRUD;GR*;GR*;R*;R*;COROUODO;N
mra_subscription_code_of_customers;customer_id;CRUD;CRUD;R;R;R;R;R;R;GC*GR*GU*GD*;GC*GR*GU*GD*;N;N;N;N
mra_statuses;customer_id;CRUD;CRUD;R;R;R;R;R;R;GC*GR*GU*GD*;GC*GR*GU*GD*;R*;R*;R;N
mra_condition_fields;customer_id;CRUD;CRUD;R;R;R;R;R;R;GC*GR*GU*GD*;GC*GR*GU*GD*;R*;R*;N;N
mra_transition_conditions;customer_id;CRUD;CRUD;R;R;R;R;R;R;GC*GR*GU*GD*;GC*GR*GU*GD*;R*;R*;N;N
mra_ticket_access_levels;customer_id;CRUD;CRUD;CRUD;R;R;CRUD;CRUD;CRUD;GC*GR*GU*GD*;GC*GR*GU*GD*;R*;N;N;N
mra_ticket_categories;customer_id;CRUD;CRUD;CRUD;R;R;CRUD;CRUD;CRUD;GC*GR*GU*GD*;GC*GR*GU*GD*;R*;R*;R;N
mra_tickets;creator;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;COROUODO;R
mra_ticket_assignments;customer_id;CRUD;CRUD;R;R;R;R;R;R;GC*GR*GU*GD*;GC*GR*GU*GD*;C*R*U*D*;R*;N;N
mra_ticket_history;recorder;CRUD;CRUD;R;R;R;R;R;R;GC*GR*GU*GD*;GC*GR*GU*GD*;C*R*U*D*;C*R*;R;N
mra_ticket_reactions;creator;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;COROUODO;R
mra_ticket_comments;creator;CRUD;CRUD;R;R;R;R;R;R;R;R;R;R;COROUODO;R
mra_notifications;user_id;CRUD;R;N;N;N;N;N;N;N;N;N;N;RO;N
mra_advisor_customers;creator;CRUD;CRUD;R;R;R;CRUD;R;R;GR*;GR*;N;N;N;N
mra_posts;customer_id;CRUD;CRUD;R;R;R;R;R;R;GC*RGU*GD*;GC*RGU*GD*;R;R;R;R
casbin_rule;SYS;CRUD;CRUD;CRUD;CRUD;R;N;N;N;GC*GR*GU*GD*;N;N;N;N;N
